"zip","TotalPop","MedianHHInc","PerCapitaHHInc","MaleOver65","FemaleOver65","PercentOver65","Rural","Urban","PercentWhite","PercentBlack","PercentHispanic","amount","AmountRep","AmountDem","AmountRCand","AmountDCand","AmountRComm","AmountDComm","rep","dem","meanrep","meandem","X_merge1","StCtyFIPS","StDMACode","X_merge2","DMACode","State","StFIPS","DMAName","Keep_L10","Keep_15S","Keep_25S","X_merge3","Market","TotDem","TotRep","TotAds","Negative","Positive","Personal","Policy","MeanDem","MeanRep","X_merge4","Bush_00_sum","Total_00_sum","Bush04_sum","Total04_sum","repvote00","repvote04","diff","PollsterEverComp","PollsterSeptComp","PollsterComp","SeptNotComp","NonComp","Pop","Cont","RCont","DCont","Inc","Ads","AdsSqrd","RAds","DAds","RDAds","RAdsSqrd","DAdsSqrd","RepubVote","TotVote","RepubShare","RepubTown","DemTown","CDF","CDF2","density","Zip_Number","Pop_Tot","per_hsgrads","per_collegegrads","geoid","geoid2","geodisplaylabel","perinstate","peroutofstate","MergeCommuting","Treatment1","StFIPS1","StFIPS2","StFIPS3","StFIPS4","StFIPS5","StFIPS6","StFIPS7","StFIPS8","StFIPS9","StFIPS10","StFIPS11","StFIPS12","StFIPS13","StFIPS14","StFIPS15","StFIPS16","StFIPS17","StFIPS18","StFIPS19","StFIPS20","StFIPS21","StFIPS22","StFIPS23","StFIPS24","StFIPS25","StFIPS26","StFIPS27","StFIPS28","StFIPS29","StFIPS30","StFIPS31","StFIPS32","StFIPS33","StFIPS34","StFIPS35","StFIPS36","StFIPS37","StFIPS38","StFIPS39","StFIPS40","StFIPS41","StFIPS42","StFIPS43","StFIPS44","StFIPS45","StFIPS46","StFIPS47","StFIPS48","StFIPS49","StFIPS50","StFIPS51","StFIPS52","StFIPS53","StFIPS54","StFIPS55","StFIPS56","state","Overlap","PerCapitaGiving","PerCapitaGivingThous","PercentVoted","lnperout","CanCommute","logDollars","PropScore1","MeanTreatment"
"35206",21744,27190,14258,946,2201,0.14472958,0,1,0.29575974,0.68906367,0.011497425,2170,950,1220,250,1220,700,0,8,8,0.375,0.625,"matched (3)","01073",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,21.744,2.17,0.95,1.22,27.19,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.6174152,0.15992281,2391.0015251562,"35206",13772,76.4449607900087,12.4455416787685,"8600000US35206",35206,"ZCTA5 35206",99.6,0.4,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,99.797646,0.09979764,0.03549471,0.33647224,0,0.7751879,0.46428293,0.16693419
"35074",136,41786,17142,9,19,0.20588236,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01007",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,0.136,0,0,0,41.786,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.14938994,0.66409343,719.026439148636,"35074",105,59.047619047619,14.2857142857143,"8600000US35074",35074,"ZCTA5 35074",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,5.674978,0,0,-6.9077554,0.5694956,0.16693419
"35188",2135,37548,15805,89,111,0.09367681,1,0,0.9419204,0.050117098,0.005152225,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01007",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,2.135,0,0,0,37.548,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.2518727,0.54185337,87.054576189374,"35188",1390,75.4676258992806,6.33093525179856,"8600000US35188",35188,"ZCTA5 35188",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.36149743,0,0,-6.9077554,0.54696476,0.16693419
"36505",1074,44231,15254,65,33,0.09124767,1,0,0.7430168,0.23929237,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01097",1686,"matched (3)",686,"Alabama             ",1,"Mobile                 ",1,1,1,"matched (3)","Mobile         ",2930,894,3824,0.682531380753138,0.317468619246862,0.438546025104602,0.561453974895398,0.766213389121339,0.233786610878661,"matched (3)",143949,240572,174390,273682,59.8361405317327,63.7199377379587,3.88379720622594,0,0,0,1,1,1.074,0,0,0,44.231,3.824,14.622975,0.894,2.93,2.61942,0.799236,8.584901,174390,273682,0.6371994,1,0,0.10663701,0.71865493,48.8253454607472,"36505",678,69.3215339233038,10.3244837758112,"8600000US36505",36505,"ZCTA5 36505",97,3,"matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,0,0,0.25482497,1.3862944,1,-6.9077554,0.5333571,0.16693419
"36451",5651,29333,14519,323,437,0.13448948,1,0,0.63015395,0.36595294,0.0015926384,3651,3651,0,2151,0,1500,0,9,9,1,0,"matched (3)","01025",1686,"matched (3)",686,"Alabama             ",1,"Mobile                 ",1,1,1,"matched (3)","Mobile         ",2930,894,3824,0.682531380753138,0.317468619246862,0.438546025104602,0.561453974895398,0.766213389121339,0.233786610878661,"matched (3)",143949,240572,174390,273682,59.8361405317327,63.7199377379587,3.88379720622594,0,0,0,1,1,5.651,3.651,3.651,0,29.333,3.824,14.622975,0.894,2.93,2.61942,0.799236,8.584901,174390,273682,0.6371994,1,0,0.68129927,0.22514802,26.8633199090571,"36451",3553,71.7140444694624,10.8077680833099,"8600000US36451",36451,"ZCTA5 36451",99.2,0.8,"matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,646.0803,0.6460803,0.04843072,0.5877867,0,1.295275,0.50015956,0.16693419
"35094",12747,37182,18983,692,1033,0.13532595,0,1,0.84561074,0.13744411,0.008394132,4500,4000,500,2550,500,1450,0,11,11,0.8181818,0.18181819,"matched (3)","01073",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,12.747,4.5,4,0.5,37.182,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.7045239,0.5288018,224.096971211212,"35094",8755,75.3283837806967,14.9286122215877,"8600000US35094",35094,"ZCTA5 35094",97.9,2.1,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,353.02426,0.35302424,0.060547344,1.1314021,1,1.5042996,0.5480269,0.16693419
"35742",1992,0,2171,5,0,0.00251004,0,1,0.42269075,0.5140562,0.022088353,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01083",1691,"matched (3)",691,"Alabama             ",1,"Huntsville             ",1,1,1,"matched (3)","Huntsville     ",1,3,4,1,0,0.875,0.125,0.25,0.75,"matched (3)",180245,322654,231342,370435,55.8632466977009,62.451442223332,6.58819552563109,0,0,0,1,1,1.992,0,0,0,0,0.004,1.6000002e-05,0.003,0.001,3e-06,9e-06,1.0000001e-06,231342,370435,0.6245144,1,0,0.15652089,0.0012757188,943.042949966222,"35742",1656,62.3792270531401,2.71739130434783,NA,NA,NA,NA,NA,"master only (1)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,0,0,0.18596135,NA,1,-6.9077554,0.4427276,0.16693419
"36279",2480,33207,16443,140,131,0.10927419,1,0,0.92903227,0.042741936,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01015",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,2.48,0,0,0,33.207,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.33973372,0.37816885,89.5700082507159,"36279",1704,76.349765258216,15.1408450704225,"8600000US36279",36279,"ZCTA5 36279",96.8,3.2,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.31120846,1.4350846,1,-6.9077554,0.55388373,0.16693419
"35775",596,41625,17497,36,54,0.15100671,1,0,0.9597315,0.026845638,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01103",1691,"matched (3)",691,"Alabama             ",1,"Huntsville             ",1,1,1,"matched (3)","Huntsville     ",1,3,4,1,0,0.875,0.125,0.25,0.75,"matched (3)",180245,322654,231342,370435,55.8632466977009,62.451442223332,6.58819552563109,0,0,0,1,1,0.596,0,0,0,41.625,0.004,1.6000002e-05,0.003,0.001,3e-06,9e-06,1.0000001e-06,231342,370435,0.6245144,1,0,0.19668968,0.659841,39.9470155756991,"35775",435,54.2528735632184,3.90804597701149,"8600000US35775",35775,"ZCTA5 35775",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,0,0,0.62153524,0,0,-6.9077554,0.5498707,0.16693419
"35540",2140,29931,13642,90,145,0.10981309,1,0,0.9953271,0,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01043",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,2.14,0,0,0,29.931,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.035000492,0.24434923,32.007795287466,"35540",1428,59.593837535014,7.56302521008403,"8600000US35540",35540,"ZCTA5 35540",99.5,0.5,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,0.3606528,0.4054651,0,-6.9077554,0.5451635,0.16693419
"36613",11767,34256,15541,525,674,0.10189513,1,0,0.6023625,0.3677233,0.004759072,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01097",1686,"matched (3)",686,"Alabama             ",1,"Mobile                 ",1,1,1,"matched (3)","Mobile         ",2930,894,3824,0.682531380753138,0.317468619246862,0.438546025104602,0.561453974895398,0.766213389121339,0.233786610878661,"matched (3)",143949,240572,174390,273682,59.8361405317327,63.7199377379587,3.88379720622594,0,0,0,1,1,11.767,0,0,0,34.256,3.824,14.622975,0.894,2.93,2.61942,0.799236,8.584901,174390,273682,0.6371994,1,0,0.06319715,0.41473946,236.428800603769,"36613",7195,71.5079916608756,9.4232105628909,"8600000US36613",36613,"ZCTA5 36613",96.3,3.7,"matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",2,0,0,0.023258435,1.5475625,1,-6.9077554,0.50497746,0.16693419
"35234",7775,19375,12320,377,793,0.15048231,0,1,0.05221865,0.9389067,0.0015434084,250,0,250,0,250,0,0,1,1,0,1,"matched (3)","01073",1630,"matched (3)",630,"Alabama             ",1,"Birmingham             ",1,1,1,"matched (3)","Birmingham     ",2,3,5,1,0,0.6,0.4,0.4,0.6,"matched (3)",390174,687706,490816,771797,56.73558177477,63.5939243091124,6.85834253434234,0,0,0,1,1,7.775,0.25,0,0.25,19.375,0.005,2.5e-05,0.003,0.002,6e-06,9e-06,4.0000004e-06,490816,771797,0.63593924,1,0,0.40136078,0.033070557,2563.85295719764,"35234",5116,58.2877247849883,6.93901485535575,"8600000US35234",35234,"ZCTA5 35234",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,32.15434,0.03215434,0.09926649,0,0,-1.3823023,0.41228095,0.16693419
"36476",224,20114,13982,12,25,0.16517857,1,0,0.38839287,0.58035713,0,0,0,0,0,0,0,0,0,0,0,0,"master only (1)","01039",1698,"matched (3)",698,"Alabama             ",1,"Montgomery             ",1,1,1,"matched (3)","Montgomery     ",1,3,4,0.75,0.25,0.625,0.375,0.25,0.75,"matched (3)",118753,233074,142111,257034,50.9507709997683,55.2887944785515,4.33802347878316,0,0,0,1,1,0.224,0,0,0,20.114,0.004,1.6000002e-05,0.003,0.001,3e-06,9e-06,1.0000001e-06,142111,257034,0.5528879,1,0,0.32341108,0.038304277,88.9819309735539,"36476",154,61.038961038961,6.49350649350649,"8600000US36476",36476,"ZCTA5 36476",100,0,"matched (3)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alabama",1,0,0,1.1474732,0,0,-6.9077554,0.4543086,0.16693419
