data_id,treat,age,education,black,hispanic,married,nodegree,re74,re75,re78
PSID3,0,54,8,0,0,1,1,293.8900146484375,537.0967407226562,295.5453186035156
PSID3,0,52,7,1,0,0,1,293.8900146484375,5012.9033203125,0
PSID3,0,24,12,1,0,0,0,783.7067260742188,0,10344.0859375
PSID3,0,22,13,0,0,0,0,783.7067260742188,0,2305.25341796875
PSID3,0,23,12,1,0,0,0,1077.5966796875,3222.58056640625,5910.90625
PSID3,0,22,12,1,0,1,0,1269.604858398438,0,0
PSID3,0,24,17,0,0,1,0,1371.48681640625,0,24825.806640625
PSID3,0,31,6,1,0,0,1,1410.672119140625,555,16059.931640625
PSID3,0,27,16,0,0,1,0,1469.450073242188,1253.225830078125,4363.7265625
PSID3,0,19,11,1,0,0,1,1567.413452148438,0,0
PSID3,0,35,9,1,0,0,1,1567.413452148438,5370.9677734375,5910.90625
PSID3,0,21,12,1,0,0,0,1959.266845703125,5460.48388671875,1152.626708984375
PSID3,0,22,12,1,0,1,0,2006.289184570312,2470.645263671875,0
PSID3,0,23,13,0,0,1,0,2155.193603515625,5370.9677734375,11378.4951171875
PSID3,0,19,14,0,0,0,0,2938.900146484375,3222.58056640625,0
PSID3,0,40,4,1,0,0,1,2962.411376953125,1933.54833984375,1034.408569335938
PSID3,0,22,9,1,0,0,1,3134.826904296875,4345.11279296875,13299.5390625
PSID3,0,23,15,0,0,1,0,3320.957275390625,2506.45166015625,9974.654296875
PSID3,0,19,6,1,0,0,1,3526.68017578125,0,0
PSID3,0,27,15,0,0,1,0,3722.60693359375,4654.8388671875,19210.4453125
PSID3,0,27,12,1,0,1,0,3918.53369140625,1994.41943359375,17732.71875
PSID3,0,43,10,1,0,1,1,3918.53369140625,2148.38720703125,0
PSID3,0,20,12,0,0,0,0,4811.95947265625,716.1290283203125,0
PSID3,0,52,12,0,0,1,0,4898.1669921875,0,0
PSID3,0,24,11,1,0,1,1,5427.1689453125,0,1329.953857421875
PSID3,0,38,10,1,0,1,1,5877.80029296875,0,0
PSID3,0,24,9,1,0,0,1,5877.80029296875,5370.9677734375,13299.5390625
PSID3,0,32,11,1,0,1,1,6524.3583984375,0,930.9677124023438
PSID3,0,22,13,0,0,0,0,6857.43359375,6266.12890625,17363.287109375
PSID3,0,21,14,0,0,1,0,6974.98974609375,11407.9345703125,17141.62890625
PSID3,0,29,10,0,0,1,1,7347.25048828125,0,0
PSID3,0,54,12,0,0,1,0,7445.2138671875,0,0
PSID3,0,33,13,0,0,0,0,7837.0673828125,3580.645263671875,16254.9921875
PSID3,0,27,11,1,0,1,1,7837.0673828125,5370.9677734375,7388.6328125
PSID3,0,21,11,1,0,1,1,8032.994140625,4848.193359375,8570.814453125
PSID3,0,54,6,1,0,1,1,8354.3134765625,0,0
PSID3,0,23,9,0,0,1,1,9012.626953125,0,14777.265625
PSID3,0,24,12,0,0,1,0,9371.1728515625,2864.51611328125,2216.58984375
PSID3,0,20,13,0,1,0,0,9404.48046875,0,8275.2685546875
PSID3,0,26,12,0,0,1,0,9561.2216796875,0,13299.5390625
PSID3,0,27,12,1,0,1,0,9796.333984375,0,11821.8134765625
PSID3,0,29,12,1,0,1,0,9796.333984375,12532.2578125,19210.4453125
PSID3,0,32,10,1,0,0,1,10188.1865234375,8951.61328125,0
PSID3,0,47,8,0,1,1,1,10286.1513671875,7161.29052734375,1477.7265625
PSID3,0,26,12,1,0,1,0,11167.8212890625,1074.193481445312,8866.359375
PSID3,0,43,12,0,0,1,0,11755.6005859375,0,295.5453186035156
PSID3,0,34,11,1,0,0,1,11755.6005859375,2148.38720703125,15516.12890625
PSID3,0,53,12,0,0,1,0,11755.6005859375,9893.322265625,5172.04296875
PSID3,0,42,13,0,0,1,0,13701.1533203125,0,33987.7109375
PSID3,0,22,12,1,0,1,0,13714.8681640625,0,664.9769897460938
PSID3,0,47,12,0,0,1,0,13714.8681640625,0,12560.67578125
PSID3,0,26,12,0,0,1,0,13714.8681640625,716.1290283203125,22904.76171875
PSID3,0,53,5,1,0,1,1,14008.7578125,2660.41943359375,11082.94921875
PSID3,0,54,8,0,1,1,1,14302.6484375,0,8866.359375
PSID3,0,54,8,0,1,1,1,14302.6484375,0,8866.359375
PSID3,0,37,13,0,0,1,0,14694.5009765625,8951.61328125,17732.71875
PSID3,0,49,8,0,1,0,1,15674.1337890625,1074.193481445312,0
PSID3,0,21,13,0,0,0,0,15674.1337890625,4946.6611328125,1733.373291015625
PSID3,0,18,10,0,1,1,1,15674.1337890625,10741.9345703125,20688.171875
PSID3,0,54,12,0,0,1,0,15674.1337890625,25064.515625,0
PSID3,0,54,12,0,0,1,0,15674.1337890625,25064.515625,0
PSID3,0,53,4,1,0,1,1,16142.3994140625,984.6774291992188,0
PSID3,0,45,4,0,1,1,1,16261.9140625,28108.064453125,28076.8046875
PSID3,0,25,12,0,0,1,0,16653.767578125,12181.35546875,17732.71875
PSID3,0,46,10,0,1,1,1,17633.400390625,10741.9345703125,5910.90625
PSID3,0,26,12,0,1,1,0,19055.828125,0,13299.5390625
PSID3,0,21,12,1,0,0,0,19592.66796875,716.1290283203125,22165.8984375
PSID3,0,48,10,0,0,1,1,23511.201171875,2864.51611328125,0
PSID3,0,46,12,0,0,0,0,23918.728515625,12532.2578125,0
PSID3,0,26,16,0,0,0,0,24490.8359375,27750,9605.22265625
PSID3,0,48,8,0,0,1,1,25470.46875,0,13299.5390625
PSID3,0,50,12,0,0,1,0,26254.17578125,0,0
PSID3,0,41,13,0,0,0,0,29389.001953125,0,30293.39453125
